Unnamed: 0,NIS,Nama Siswa,Kelas,PAB,B.Indonesia,B.Inggris,Informatika,IPA,IPS,Matematika,Mulok,Pancasila,PJOK,Prakarya,Seni
0,8263268830,Putra Ramadhani,IXA,89.5,90.5,91.5,95.0,94.0,89.66666666666667,89.5,92.0,87.16666666666667,87.0,89.0,93.0
1,5598319876,Tri Tanjung,IXA,88.66666666666667,88.0,89.66666666666667,89.66666666666667,90.5,89.16666666666667,88.66666666666667,91.5,88.66666666666667,90.66666666666669,89.83333333333333,88.16666666666667
2,907513201,Santi Simbolon,IXA,90.0,91.0,89.33333333333333,87.0,94.5,92.33333333333331,90.0,86.16666666666667,89.16666666666667,96.5,95.33333333333331,95.83333333333331
3,1380008570,Naufal Mahmud,IXA,90.5,87.33333333333333,88.0,86.0,89.66666666666667,90.16666666666669,90.5,91.66666666666669,94.16666666666669,87.66666666666667,93.66666666666669,90.5
4,5368226350,Hana Yahya,IXA,91.0,90.5,94.83333333333331,90.66666666666669,90.5,92.0,91.0,86.16666666666667,92.33333333333331,87.16666666666667,91.33333333333331,91.5
5,1121775821,Sabrina Cahyadi,IXA,92.0,89.66666666666667,93.0,96.0,96.66666666666669,85.83333333333333,92.0,87.83333333333333,91.0,89.83333333333333,93.66666666666669,91.33333333333331
6,5841764155,Adi Sumantri,IXA,92.16666666666669,89.83333333333333,90.33333333333331,92.16666666666669,88.33333333333333,94.83333333333331,92.16666666666669,91.33333333333331,90.83333333333331,92.66666666666669,89.83333333333333,94.16666666666669
7,1619067201,Intan Setiawan,IXA,95.33333333333331,92.0,92.5,93.5,91.33333333333331,89.5,95.33333333333331,91.0,89.33333333333333,88.83333333333333,92.33333333333331,92.5
8,2390927245,Rani Dharmawan,IXA,93.33333333333331,94.83333333333331,90.16666666666669,92.16666666666669,93.0,95.5,93.33333333333331,93.5,91.66666666666669,88.33333333333333,88.83333333333333,90.16666666666669
9,7203625297,Kasman Sitanggang,IXA,90.0,89.83333333333333,90.66666666666669,93.83333333333331,90.66666666666669,90.0,90.0,91.5,90.16666666666669,88.0,93.16666666666669,89.5
10,1441950286,Laila Prabowo,IXA,93.16666666666669,88.83333333333333,89.33333333333333,88.16666666666667,92.66666666666669,90.66666666666669,93.16666666666669,94.33333333333331,94.0,87.16666666666667,92.83333333333331,94.0
11,3967022923,Citra Effendi,IXA,89.66666666666667,92.0,90.5,90.0,95.5,91.0,89.66666666666667,89.83333333333333,94.16666666666669,87.66666666666667,87.66666666666667,89.16666666666667
12,1328673407,Yudi Wirawan,IXA,91.5,89.66666666666667,87.16666666666667,91.33333333333331,92.16666666666669,91.0,91.5,91.66666666666669,93.0,90.66666666666669,90.0,89.33333333333333
13,8929241967,Fadli Yanto,IXA,89.16666666666667,89.16666666666667,91.83333333333331,92.5,88.0,91.0,89.16666666666667,92.33333333333331,87.83333333333333,91.5,94.66666666666669,95.16666666666669
14,6418015267,Gading Sumantri,IXA,91.66666666666669,91.83333333333331,91.0,94.0,94.5,88.83333333333333,91.66666666666669,92.66666666666669,92.0,93.33333333333331,90.0,89.33333333333333
15,3625454531,Junaidi Pratama,IXA,90.0,92.33333333333331,94.66666666666669,88.66666666666667,91.5,89.0,90.0,92.83333333333331,91.33333333333331,91.16666666666669,93.33333333333331,95.33333333333331
16,5216880027,Teguh Hidayat,IXA,88.66666666666667,86.33333333333333,91.5,88.0,90.16666666666669,91.5,88.66666666666667,92.66666666666669,86.16666666666667,90.33333333333331,91.5,91.5
17,23160949,Tika Mahendra,IXA,94.66666666666669,90.16666666666669,91.66666666666669,91.16666666666669,95.83333333333331,90.83333333333331,94.66666666666669,91.5,89.33333333333333,91.16666666666669,93.16666666666669,93.66666666666669
18,5951963654,Jaka Zulkarnain,IXA,93.66666666666669,88.83333333333333,87.83333333333333,90.83333333333331,89.33333333333333,91.16666666666669,93.66666666666669,91.66666666666669,93.33333333333331,89.83333333333333,94.83333333333331,89.0
19,2213735388,Dina Hidayat,IXA,91.66666666666669,91.33333333333331,94.16666666666669,91.83333333333331,91.66666666666669,94.66666666666669,91.66666666666669,90.0,89.5,89.33333333333333,92.66666666666669,93.66666666666669
20,2154857062,Indah Lestari,IXA,91.33333333333331,88.33333333333333,92.16666666666669,91.0,89.16666666666667,86.83333333333333,91.33333333333331,89.83333333333333,90.83333333333331,90.0,85.33333333333333,89.5
21,4114964514,Lukman Shahab,IXA,91.0,89.66666666666667,89.16666666666667,92.0,90.83333333333331,93.33333333333331,91.0,91.33333333333331,87.5,92.16666666666669,95.0,90.33333333333331
22,6525771109,Darma Sitorus,IXA,93.33333333333331,94.83333333333331,86.5,89.5,87.0,90.16666666666669,93.33333333333331,88.33333333333333,91.0,90.16666666666669,92.0,87.83333333333333
23,491644955,Rendra Kamaluddin,IXA,88.16666666666667,95.16666666666669,94.66666666666669,87.0,88.16666666666667,90.0,88.16666666666667,90.5,92.16666666666669,92.33333333333331,91.83333333333331,91.83333333333331
24,4257706560,Darma Utami,IXA,91.83333333333331,94.16666666666669,90.5,92.16666666666669,87.83333333333333,92.83333333333331,91.83333333333331,93.5,89.66666666666667,88.33333333333333,87.5,93.0
25,9320491246,Dodi Rasyid,IXA,87.33333333333333,94.16666666666669,91.16666666666669,95.0,93.0,89.33333333333333,87.33333333333333,89.5,89.83333333333333,88.16666666666667,89.33333333333333,92.66666666666669
26,5694418098,Dicky Yahya,IXA,88.5,92.0,91.0,90.0,87.66666666666667,90.83333333333331,88.5,90.83333333333331,91.66666666666669,91.66666666666669,92.33333333333331,91.33333333333331
27,6839713685,Feri Saputra,IXA,91.33333333333331,89.5,87.5,92.83333333333331,86.33333333333333,93.83333333333331,91.33333333333331,90.33333333333331,91.66666666666669,92.83333333333331,93.83333333333331,95.5
28,9670538806,Rahmat Jatmiko,IXA,93.0,94.83333333333331,94.16666666666669,91.66666666666669,93.83333333333331,89.66666666666667,93.0,93.33333333333331,90.33333333333331,91.5,90.16666666666669,92.0
29,5937264239,Julia Utama,IXA,95.33333333333331,89.66666666666667,90.0,93.0,87.66666666666667,90.5,95.33333333333331,87.5,88.16666666666667,92.0,91.66666666666669,91.5
30,4564994685,Candra Halim,IXA,90.66666666666669,96.66666666666669,89.33333333333333,93.0,92.0,96.83333333333331,90.66666666666669,93.5,88.5,94.0,87.33333333333333,94.66666666666669
31,3149159076,Fauzan Iskandar,IXA,93.66666666666669,90.33333333333331,88.0,87.0,91.33333333333331,90.83333333333331,93.66666666666669,87.16666666666667,87.83333333333333,93.66666666666669,94.16666666666669,95.0
32,9752953073,Bagus Kamaluddin,IXA,90.0,88.66666666666667,91.5,88.33333333333333,91.66666666666669,88.66666666666667,90.0,91.16666666666669,89.66666666666667,89.66666666666667,94.66666666666669,92.0
33,8587270210,Benny Simbolon,IXA,89.33333333333333,89.66666666666667,91.83333333333331,86.16666666666667,90.16666666666669,90.16666666666669,89.33333333333333,93.5,89.33333333333333,91.83333333333331,90.16666666666669,88.33333333333333
34,9632032965,Galih Zulkarnain,IXA,88.66666666666667,89.83333333333333,91.0,87.5,89.0,95.5,88.66666666666667,92.66666666666669,89.83333333333333,89.33333333333333,91.0,90.83333333333331
35,8073799326,Fajar Fauzi,IXA,93.83333333333331,91.16666666666669,88.66666666666667,91.16666666666669,90.5,91.16666666666669,93.83333333333331,89.33333333333333,92.5,87.33333333333333,91.16666666666669,88.33333333333333
36,5322751122,Abdul Budi,IXA,89.5,94.83333333333331,93.33333333333331,92.0,91.16666666666669,88.0,89.5,90.16666666666669,88.33333333333333,93.0,92.33333333333331,90.0
37,2008792705,Putra Nurhalim,IXA,93.83333333333331,94.33333333333331,91.33333333333331,90.5,89.16666666666667,89.0,93.83333333333331,87.0,91.16666666666669,88.0,90.16666666666669,88.16666666666667
38,530298923,Yahya Bakri,IXA,89.16666666666667,91.66666666666669,90.66666666666669,90.5,88.66666666666667,90.83333333333331,89.16666666666667,88.83333333333333,92.0,90.5,92.83333333333331,91.66666666666669
39,2739587889,Prasetyo Ibrahim,IXA,93.16666666666669,94.66666666666669,90.5,89.16666666666667,88.83333333333333,87.83333333333333,93.16666666666669,92.33333333333331,87.5,98.33333333333331,91.0,89.66666666666667
0,7406804190,Indah Samsudin,IXB,83.83333333333333,86.83333333333333,88.83333333333333,85.5,93.33333333333331,89.5,83.83333333333333,88.33333333333333,87.83333333333333,88.83333333333333,87.5,87.5
1,7307335198,Darma Sukardi,IXB,89.16666666666667,94.0,85.66666666666667,83.5,88.5,91.5,89.16666666666667,88.33333333333333,85.5,87.83333333333333,93.83333333333331,91.33333333333331
2,9695729104,Jaka Zainuddin,IXB,89.33333333333333,89.16666666666667,82.83333333333333,89.16666666666667,84.16666666666667,88.16666666666667,89.33333333333333,83.0,86.66666666666667,85.83333333333333,86.16666666666667,84.16666666666667
3,9983120874,Kevin Nurhalim,IXB,90.16666666666669,87.33333333333333,88.66666666666667,85.66666666666667,90.83333333333331,88.66666666666667,90.16666666666669,87.33333333333333,89.0,90.5,86.66666666666667,89.0
4,9470691340,Kevin Soeharto,IXB,86.0,86.33333333333333,92.0,91.66666666666669,87.33333333333333,90.16666666666669,86.0,93.66666666666669,83.0,86.66666666666667,92.16666666666669,84.66666666666667
5,771058503,Feri Tampubolon,IXB,94.5,87.83333333333333,85.66666666666667,86.5,92.16666666666669,88.66666666666667,94.5,86.0,85.0,87.16666666666667,83.33333333333333,87.66666666666667
6,9587870106,Eman Aditya,IXB,83.0,86.83333333333333,85.5,86.33333333333333,89.5,80.0,83.0,85.66666666666667,81.33333333333333,82.0,85.0,92.5
7,5759625161,Wulan Sukardi,IXB,86.33333333333333,85.0,90.33333333333331,88.83333333333333,85.5,92.33333333333331,86.33333333333333,83.0,90.5,91.33333333333331,86.66666666666667,89.5
